account,position,medal_id
Thombay,1,kanto
Thombay,2,collector
Thombay,3,scientist
Thombay,4,breeder
Thombay,5,backpacker
Thombay,6,sightseer
Thombay,7,ace_trainer
Thombay,8,johto
Thombay,9,berry_master
Thombay,10,gym_leader
Thombay,11,hoenn
Thombay,12,idol
Thombay,13,gentleman
Thombay,14,pilot
Thombay,15,great_league_veteran
Thombay,16,ultra_league_veteran
Thombay,17,master_league_veteran
Thombay,18,unova
Thombay,19,purifier
Thombay,20,kalos
Thombay,21,triathlete
Thombay,22,rising_star
Thombay,23,picnicker
Thombay,24,successor
Thombay,25,mega_evolution_guru
Thombay,26,friend_finder
Thombay,27,raid_expert
Thombay,28,life_of_a_party
Thombay,29,jogger
Thombay,30,battle_girl
Thombay,31,pikachu_fan
Thombay,32,unown
Thombay,33,pokemon_ranger
Thombay,34,sinnoh
Thombay,35,hero
Thombay,36,alola
Thombay,37,galar
Thombay,38,hisui
Thombay,39,tiny_pokemon_collector
Thombay,40,jumbo_pokemon_collector
Thombay,41,fisher
Thombay,42,youngster
Thombay,43,champion
Thombay,44,battle_legend
Thombay,45,cameraman
Thombay,46,ultra_hero
Thombay,47,best_buddy
Thombay,48,rising_star_duo
Thombay,49,expert_navigator
Thombay,50,paldea
Thombay,51,showcase_star
Thombay,52,community_member
Thombay,53,wayfarer
Thombay,54,normal
Thombay,55,fighting
Thombay,56,flying
Thombay,57,poison
Thombay,58,ground
Thombay,59,rock
Thombay,60,bug
Thombay,61,ghost
Thombay,62,steel
Thombay,63,fire
Thombay,64,water
Thombay,65,grass
Thombay,66,electric
Thombay,67,psychic
Thombay,68,ice
Thombay,69,dark
Thombay,70,fairy
Thombay,71,dragon
Cerius,1,kanto
Cerius,2,idol
Cerius,3,triathlete
Cerius,4,rising_star
Cerius,5,successor
Cerius,6,raid_expert
Cerius,7,life_of_a_party
Cerius,8,jogger
Cerius,9,collector
Cerius,10,scientist
Cerius,11,breeder
Cerius,12,backpacker
Cerius,13,sightseer
Cerius,14,pikachu_fan
Cerius,15,johto
Cerius,16,gym_leader
Cerius,17,hoenn
Cerius,18,gentleman
Cerius,19,sinnoh
Cerius,20,unova
Cerius,21,kalos
Cerius,22,alola
Cerius,23,galar
Cerius,24,mega_evolution_guru
Cerius,25,hisui
Cerius,26,tiny_pokemon_collector
Cerius,27,jumbo_pokemon_collector
Cerius,28,fisher
Cerius,29,battle_girl
Cerius,30,youngster
Cerius,31,unown
Cerius,32,champion
Cerius,33,battle_legend
Cerius,34,berry_master
Cerius,35,pokemon_ranger
Cerius,36,pilot
Cerius,37,great_league_veteran
Cerius,38,cameraman
Cerius,39,purifier
Cerius,40,hero
Cerius,41,ultra_hero
Cerius,42,rising_star_duo
Cerius,43,picnicker
Cerius,44,expert_navigator
Cerius,45,paldea
Cerius,46,ace_trainer
Cerius,47,ultra_league_veteran
Cerius,48,master_league_veteran
Cerius,49,best_buddy
Cerius,50,community_member
Cerius,51,showcase_star
Cerius,52,wayfarer
Cerius,53,friend_finder
Cerius,54,normal
Cerius,55,flying
Cerius,56,poison
Cerius,57,bug
Cerius,58,fire
Cerius,59,water
Cerius,60,grass
Cerius,61,electric
Cerius,62,psychic
Cerius,63,fighting
Cerius,64,ground
Cerius,65,rock
Cerius,66,ghost
Cerius,67,steel
Cerius,68,ice
Cerius,69,dragon
Cerius,70,dark
Cerius,71,fairy
Thomzay,1,kanto
Thomzay,2,life_of_a_party
Thomzay,3,collector
Thomzay,4,scientist
Thomzay,5,backpacker
Thomzay,6,sightseer
Thomzay,7,johto
Thomzay,8,gym_leader
Thomzay,9,hoenn
Thomzay,10,idol
Thomzay,11,sinnoh
Thomzay,12,unova
Thomzay,13,kalos
Thomzay,14,alola
Thomzay,15,galar
Thomzay,16,triathlete
Thomzay,17,rising_star
Thomzay,18,successor
Thomzay,19,raid_expert
Thomzay,20,jumbo_pokemon_collector
Thomzay,21,jogger
Thomzay,22,breeder
Thomzay,23,battle_girl
Thomzay,24,youngster
Thomzay,25,pikachu_fan
Thomzay,26,unown
Thomzay,27,battle_legend
Thomzay,28,berry_master
Thomzay,29,pokemon_ranger
Thomzay,30,gentleman
Thomzay,31,great_league_veteran
Thomzay,32,rising_star_duo
Thomzay,33,picnicker
Thomzay,34,mega_evolution_guru
Thomzay,35,hisui
Thomzay,36,tiny_pokemon_collector
Thomzay,37,paldea
Thomzay,38,fisher
Thomzay,39,ace_trainer
Thomzay,40,champion
Thomzay,41,pilot
Thomzay,42,master_league_veteran
Thomzay,43,cameraman
Thomzay,44,purifier
Thomzay,45,hero
Thomzay,46,ultra_hero
Thomzay,47,best_buddy
Thomzay,48,expert_navigator
Thomzay,49,community_member
Thomzay,50,showcase_star
Thomzay,51,ultra_league_veteran
Thomzay,52,wayfarer
Thomzay,53,friend_finder
Thomzay,54,normal
Thomzay,55,flying
Thomzay,56,bug
Thomzay,57,water
Thomzay,58,fighting
Thomzay,59,poison
Thomzay,60,ground
Thomzay,61,rock
Thomzay,62,ghost
Thomzay,63,steel
Thomzay,64,fire
Thomzay,65,grass
Thomzay,66,electric
Thomzay,67,psychic
Thomzay,68,ice
Thomzay,69,dragon
Thomzay,70,dark
Thomzay,71,fairy
