entry_type,region,max_value,locked,notes
pokemon,overall,1025,true,Derived as the sum of all Pokemon regions.
pokemon,kanto,151,false,Saved from Pokédex input; Kanto medal value is reference only.
pokemon,johto,100,false,Saved from Pokédex input; Johto medal value is reference only.
pokemon,hoenn,135,false,Saved from Pokédex input; Hoenn medal value is reference only.
pokemon,sinnoh,107,false,Saved from Pokédex input; Sinnoh medal value is reference only.
pokemon,unova,156,false,Saved from Pokédex input; Unova medal value is reference only.
pokemon,kalos,72,false,Saved from Pokédex input; Kalos medal value is reference only.
pokemon,alola,86,false,Saved from Pokédex input; Alola medal value is reference only.
pokemon,galar,89,false,Saved from Pokédex input; Galar medal value is reference only.
pokemon,hisui,7,false,Saved from Pokédex input; Hisui medal value is reference only.
pokemon,paldea,120,false,Saved from Pokédex input; Paldea medal value is reference only.
pokemon,unidentified,2,false,
shiny,overall,1025,true,Derived as the sum of all Shiny regions.
shiny,kanto,151,false,
shiny,johto,100,false,
shiny,hoenn,135,false,
shiny,sinnoh,107,false,
shiny,unova,156,false,
shiny,kalos,72,false,
shiny,alola,86,false,
shiny,galar,89,false,
shiny,hisui,7,false,No shiny Hisui entries available yet.
shiny,paldea,120,false,
shiny,unidentified,2,false,
lucky,overall,1025,true,Derived as the sum of all Lucky regions.
lucky,kanto,151,false,
lucky,johto,100,false,
lucky,hoenn,135,false,
lucky,sinnoh,107,false,
lucky,unova,156,false,
lucky,kalos,72,false,
lucky,alola,86,false,
lucky,galar,89,false,
lucky,hisui,7,false,
lucky,paldea,120,false,
lucky,unidentified,2,false,
xxl,overall,1025,true,Derived as the sum of all XXL regions.
xxl,kanto,151,false,
xxl,johto,100,false,
xxl,hoenn,135,false,
xxl,sinnoh,107,false,
xxl,unova,156,false,
xxl,kalos,72,false,
xxl,alola,86,false,
xxl,galar,89,false,
xxl,hisui,7,false,
xxl,paldea,120,false,
xxl,unidentified,2,false,
xxs,overall,1025,true,Derived as the sum of all XXS regions.
xxs,kanto,151,false,
xxs,johto,100,false,
xxs,hoenn,135,false,
xxs,sinnoh,107,false,
xxs,unova,156,false,
xxs,kalos,72,false,
xxs,alola,86,false,
xxs,galar,89,false,
xxs,hisui,7,false,
xxs,paldea,120,false,
xxs,unidentified,2,false,
gmax,overall,32,true,Derived as the sum of all G-Max regions.
gmax,kanto,12,false,
gmax,johto,0,true,
gmax,hoenn,0,true,
gmax,sinnoh,0,true,
gmax,unova,1,false,
gmax,kalos,0,true,
gmax,alola,0,true,
gmax,galar,18,false,
gmax,hisui,0,true,
gmax,paldea,0,true,
gmax,unidentified,1,false,
mega,overall,55,true,Derived as the sum of all Mega regions.
mega,kanto,17,false,
mega,johto,7,false,
mega,hoenn,22,false,
mega,sinnoh,5,false,
mega,unova,1,false,
mega,kalos,2,false,Only 2 Mega Kalos entries are currently available.
mega,alola,0,true,
mega,galar,1,false,
mega,hisui,0,true,
mega,paldea,0,true,
mega,unidentified,0,true,
shadow,overall,727,true,Derived as the sum of all Shadow regions.
shadow,kanto,150,false,
shadow,johto,99,false,
shadow,hoenn,132,false,
shadow,sinnoh,105,false,
shadow,unova,151,false,
shadow,kalos,66,false,
shadow,alola,12,false,
shadow,galar,8,false,
shadow,hisui,3,false,
shadow,paldea,1,false,
shadow,unidentified,0,true,
purified,overall,727,true,Derived as the sum of all Purified regions.
purified,kanto,150,false,
purified,johto,99,false,
purified,hoenn,132,false,
purified,sinnoh,105,false,
purified,unova,151,false,
purified,kalos,66,false,
purified,alola,12,false,
purified,galar,8,false,
purified,hisui,3,false,
purified,paldea,1,false,
purified,unidentified,0,true,
hundo,overall,1025,true,Derived as the sum of all 100% regions.
hundo,kanto,151,false,
hundo,johto,100,false,
hundo,hoenn,135,false,
hundo,sinnoh,107,false,
hundo,unova,156,false,
hundo,kalos,72,false,
hundo,alola,86,false,
hundo,galar,89,false,
hundo,hisui,7,false,
hundo,paldea,120,false,
hundo,unidentified,2,false,
