date,account,entry_type,region,value
2025-04-04,Thombay,pokemon,kanto,151.0
2025-04-04,Thombay,pokemon,johto,100.0
2025-04-04,Thombay,pokemon,hoenn,132.0
2025-04-04,Thombay,pokemon,sinnoh,100.0
2025-04-04,Thombay,pokemon,unova,152.0
2025-04-04,Thombay,pokemon,kalos,59.0
2025-04-04,Thombay,pokemon,alola,50.0
2025-04-04,Thombay,pokemon,galar,39.0
2025-04-04,Thombay,pokemon,hisui,5.0
2025-04-04,Thombay,pokemon,paldea,36.0
2025-04-26,Thombay,pokemon,kanto,151.0
2025-04-26,Thombay,pokemon,johto,100.0
2025-04-26,Thombay,pokemon,hoenn,132.0
2025-05-21,Thombay,pokemon,kanto,151.0
2025-05-21,Thombay,pokemon,johto,100.0
2025-05-21,Thombay,pokemon,hoenn,132.0
2025-05-21,Thombay,pokemon,sinnoh,100.0
2025-05-21,Thombay,pokemon,unova,152.0
2025-05-21,Thombay,pokemon,kalos,59.0
2025-05-21,Thombay,pokemon,alola,50.0
2025-05-21,Thombay,pokemon,galar,39.0
2025-05-21,Thombay,pokemon,hisui,5.0
2025-05-21,Thombay,pokemon,paldea,36.0
2025-06-27,Thombay,pokemon,kanto,151.0
2025-06-27,Thombay,pokemon,johto,100.0
2025-06-27,Thombay,pokemon,hoenn,132.0
2025-06-27,Thombay,pokemon,sinnoh,100.0
2025-06-27,Thombay,pokemon,unova,152.0
2025-06-27,Thombay,pokemon,kalos,59.0
2025-06-27,Thombay,pokemon,alola,50.0
2025-06-27,Thombay,pokemon,galar,39.0
2025-06-27,Thombay,pokemon,hisui,5.0
2025-06-27,Thombay,pokemon,paldea,36.0
2025-08-25,Thombay,pokemon,kanto,151.0
2025-08-25,Thombay,pokemon,johto,100.0
2025-08-25,Thombay,pokemon,hoenn,132.0
2025-08-25,Thombay,pokemon,sinnoh,100.0
2025-08-25,Thombay,pokemon,unova,154.0
2025-08-25,Thombay,pokemon,kalos,63.0
2025-08-25,Thombay,pokemon,alola,60.0
2025-08-25,Thombay,pokemon,galar,48.0
2025-08-25,Thombay,pokemon,hisui,5.0
2025-08-25,Thombay,pokemon,paldea,44.0
2025-10-22,Thombay,pokemon,kanto,151.0
2025-10-22,Thombay,pokemon,johto,100.0
2025-10-22,Thombay,pokemon,hoenn,132.0
2025-10-22,Thombay,pokemon,sinnoh,100.0
2025-10-22,Thombay,pokemon,unova,155.0
2025-10-22,Thombay,pokemon,kalos,65.0
2025-10-22,Thombay,pokemon,alola,63.0
2025-10-22,Thombay,pokemon,galar,51.0
2025-10-22,Thombay,pokemon,hisui,6.0
2025-10-22,Thombay,pokemon,paldea,48.0
2025-11-16,Thombay,pokemon,kanto,151.0
2025-11-16,Thombay,pokemon,johto,100.0
2025-11-16,Thombay,pokemon,hoenn,135.0
2025-11-16,Thombay,pokemon,sinnoh,104.0
2025-11-16,Thombay,pokemon,unova,155.0
2025-11-16,Thombay,pokemon,kalos,67.0
2025-11-16,Thombay,pokemon,alola,64.0
2025-11-16,Thombay,pokemon,galar,56.0
2025-11-16,Thombay,pokemon,hisui,6.0
2025-11-16,Thombay,pokemon,paldea,52.0
2025-12-21,Thombay,pokemon,kanto,151.0
2025-12-21,Thombay,pokemon,johto,100.0
2025-12-21,Thombay,pokemon,hoenn,135.0
2025-12-21,Thombay,pokemon,sinnoh,104.0
2025-12-21,Thombay,pokemon,unova,156.0
2025-12-21,Thombay,pokemon,kalos,68.0
2025-12-21,Thombay,pokemon,alola,64.0
2025-12-21,Thombay,pokemon,galar,59.0
2025-12-21,Thombay,pokemon,hisui,6.0
2025-12-21,Thombay,pokemon,paldea,55.0
2025-12-21,Cerius,pokemon,kanto,149.0
2025-12-21,Cerius,pokemon,johto,95.0
2025-12-21,Cerius,pokemon,hoenn,128.0
2025-12-21,Cerius,pokemon,sinnoh,88.0
2025-12-21,Cerius,pokemon,unova,146.0
2025-12-21,Cerius,pokemon,kalos,59.0
2025-12-21,Cerius,pokemon,alola,57.0
2025-12-21,Cerius,pokemon,galar,52.0
2025-12-21,Cerius,pokemon,hisui,5.0
2025-12-21,Cerius,pokemon,paldea,43.0
2025-12-21,Thomzay,pokemon,kanto,111.0
2025-12-21,Thomzay,pokemon,johto,63.0
2025-12-21,Thomzay,pokemon,hoenn,84.0
2025-12-21,Thomzay,pokemon,sinnoh,52.0
2025-12-21,Thomzay,pokemon,unova,88.0
2025-12-21,Thomzay,pokemon,kalos,42.0
2025-12-21,Thomzay,pokemon,alola,35.0
2025-12-21,Thomzay,pokemon,galar,38.0
2025-12-21,Thomzay,pokemon,hisui,2.0
2025-12-21,Thomzay,pokemon,paldea,29.0
2026-02-17,Thombay,pokemon,kanto,151.0
2026-02-17,Thombay,pokemon,johto,100.0
2026-02-17,Thombay,pokemon,hoenn,135.0
2026-02-17,Thombay,pokemon,sinnoh,104.0
2026-02-17,Thombay,pokemon,unova,156.0
2026-02-17,Thombay,pokemon,kalos,70.0
2026-02-17,Thombay,pokemon,alola,67.0
2026-02-17,Thombay,pokemon,galar,63.0
2026-02-17,Thombay,pokemon,hisui,6.0
2026-02-17,Thombay,pokemon,paldea,62.0
2026-02-17,Cerius,pokemon,kanto,149.0
2026-02-17,Cerius,pokemon,johto,98.0
2026-02-17,Cerius,pokemon,hoenn,129.0
2026-02-17,Cerius,pokemon,sinnoh,90.0
2026-02-17,Cerius,pokemon,unova,147.0
2026-02-17,Cerius,pokemon,kalos,62.0
2026-02-17,Cerius,pokemon,alola,60.0
2026-02-17,Cerius,pokemon,galar,56.0
2026-02-17,Cerius,pokemon,hisui,6.0
2026-02-17,Cerius,pokemon,paldea,53.0
2026-02-17,Thomzay,pokemon,kanto,131.0
2026-02-17,Thomzay,pokemon,johto,73.0
2026-02-17,Thomzay,pokemon,hoenn,99.0
2026-02-17,Thomzay,pokemon,sinnoh,61.0
2026-02-17,Thomzay,pokemon,unova,103.0
2026-02-17,Thomzay,pokemon,kalos,45.0
2026-02-17,Thomzay,pokemon,alola,38.0
2026-02-17,Thomzay,pokemon,galar,44.0
2026-02-17,Thomzay,pokemon,hisui,2.0
2026-02-17,Thomzay,pokemon,paldea,43.0
2026-03-06,Thombay,pokemon,kanto,151.0
2026-03-06,Thombay,pokemon,johto,100.0
2026-03-06,Thombay,pokemon,hoenn,135.0
2026-03-06,Thombay,pokemon,sinnoh,104.0
2026-03-06,Thombay,pokemon,unova,156.0
2026-03-06,Thombay,pokemon,kalos,71.0
2026-03-06,Thombay,pokemon,alola,67.0
2026-03-06,Thombay,pokemon,galar,63.0
2026-03-06,Thombay,pokemon,hisui,6.0
2026-03-06,Thombay,pokemon,paldea,63.0
2026-03-06,Cerius,pokemon,kanto,151.0
2026-03-06,Cerius,pokemon,johto,98.0
2026-03-06,Cerius,pokemon,hoenn,130.0
2026-03-06,Cerius,pokemon,sinnoh,91.0
2026-03-06,Cerius,pokemon,unova,148.0
2026-03-06,Cerius,pokemon,kalos,67.0
2026-03-06,Cerius,pokemon,alola,61.0
2026-03-06,Cerius,pokemon,galar,56.0
2026-03-06,Cerius,pokemon,hisui,6.0
2026-03-06,Cerius,pokemon,paldea,53.0
