entry_type,dex_number,available,notes
mega,3,True,
mega,6,True,
mega,9,True,
mega,15,True,
mega,18,True,
mega,65,True,
mega,80,True,
mega,94,True,
mega,115,True,
mega,127,True,
mega,130,True,
mega,142,True,
mega,181,True,
mega,208,True,
mega,212,True,
mega,214,True,
mega,229,True,
mega,248,True,
mega,254,True,
mega,257,True,
mega,260,True,
mega,282,True,
mega,302,True,
mega,303,True,
mega,306,True,
mega,308,True,
mega,310,True,
mega,319,True,
mega,323,True,
mega,334,True,
mega,354,True,
mega,359,True,
mega,362,True,
mega,373,True,
mega,376,True,
mega,380,True,
mega,381,True,
mega,382,True,
mega,383,True,
mega,384,True,
mega,428,True,
mega,445,True,
mega,448,True,
mega,460,True,
mega,475,True,
mega,531,True,
mega,719,True,
shadow,1,True,
shadow,2,True,
shadow,3,True,
shadow,4,True,
shadow,5,True,
shadow,6,True,
shadow,7,True,
shadow,8,True,
shadow,9,True,
shadow,13,True,
shadow,14,True,
shadow,15,True,
shadow,19,True,
shadow,20,True,
shadow,23,True,
shadow,24,True,
shadow,27,True,
shadow,28,True,
shadow,29,True,
shadow,30,True,
shadow,31,True,
shadow,32,True,
shadow,33,True,
shadow,34,True,
shadow,37,True,
shadow,38,True,
shadow,41,True,
shadow,42,True,
shadow,43,True,
shadow,44,True,
shadow,45,True,
shadow,48,True,
shadow,49,True,
shadow,50,True,
shadow,51,True,
shadow,52,True,
shadow,53,True,
shadow,54,True,
shadow,55,True,
shadow,58,True,
shadow,59,True,
shadow,60,True,
shadow,61,True,
shadow,62,True,
shadow,63,True,
shadow,64,True,
shadow,65,True,
shadow,66,True,
shadow,67,True,
shadow,68,True,
shadow,69,True,
shadow,70,True,
shadow,71,True,
shadow,74,True,
shadow,75,True,
shadow,76,True,
shadow,79,True,
shadow,80,True,
shadow,81,True,
shadow,82,True,
shadow,88,True,
shadow,89,True,
shadow,90,True,
shadow,91,True,
shadow,96,True,
shadow,97,True,
shadow,100,True,
shadow,101,True,
shadow,102,True,
shadow,103,True,
shadow,104,True,
shadow,105,True,
shadow,106,True,
shadow,107,True,
shadow,109,True,
shadow,110,True,
shadow,114,True,
shadow,116,True,
shadow,117,True,
shadow,123,True,
shadow,125,True,
shadow,126,True,
shadow,127,True,
shadow,129,True,
shadow,130,True,
shadow,131,True,
shadow,137,True,
shadow,138,True,
shadow,139,True,
shadow,142,True,
shadow,143,True,
shadow,144,True,
shadow,145,True,
shadow,146,True,
shadow,147,True,
shadow,148,True,
shadow,149,True,
shadow,150,True,
shadow,152,True,
shadow,153,True,
shadow,154,True,
shadow,155,True,
shadow,156,True,
shadow,157,True,
shadow,158,True,
shadow,159,True,
shadow,160,True,
shadow,169,True,
shadow,179,True,
shadow,180,True,
shadow,181,True,
shadow,182,True,
shadow,185,True,
shadow,186,True,
shadow,187,True,
shadow,188,True,
shadow,189,True,
shadow,190,True,
shadow,194,True,
shadow,195,True,
shadow,198,True,
shadow,199,True,
shadow,200,True,
shadow,202,True,
shadow,203,True,
shadow,204,True,
shadow,205,True,
shadow,207,True,
shadow,209,True,
shadow,210,True,
shadow,212,True,
shadow,213,True,
shadow,215,True,
shadow,216,True,
shadow,217,True,
shadow,220,True,
shadow,221,True,
shadow,225,True,
shadow,227,True,
shadow,228,True,
shadow,229,True,
shadow,230,True,
shadow,233,True,
shadow,234,True,
shadow,243,True,
shadow,244,True,
shadow,245,True,
shadow,246,True,
shadow,247,True,
shadow,248,True,
shadow,249,True,
shadow,250,True,
shadow,258,True,
shadow,259,True,
shadow,260,True,
shadow,261,True,
shadow,262,True,
shadow,273,True,
shadow,274,True,
shadow,275,True,
shadow,280,True,
shadow,281,True,
shadow,282,True,
shadow,293,True,
shadow,294,True,
shadow,295,True,
shadow,296,True,
shadow,297,True,
shadow,299,True,
shadow,302,True,
shadow,303,True,
shadow,304,True,
shadow,305,True,
shadow,306,True,
shadow,309,True,
shadow,310,True,
shadow,318,True,
shadow,319,True,
shadow,322,True,
shadow,323,True,
shadow,328,True,
shadow,329,True,
shadow,330,True,
shadow,331,True,
shadow,332,True,
shadow,345,True,
shadow,346,True,
shadow,347,True,
shadow,348,True,
shadow,353,True,
shadow,354,True,
shadow,355,True,
shadow,356,True,
shadow,359,True,
shadow,363,True,
shadow,364,True,
shadow,365,True,
shadow,371,True,
shadow,372,True,
shadow,373,True,
shadow,374,True,
shadow,375,True,
shadow,376,True,
shadow,381,True,
shadow,387,True,
shadow,388,True,
shadow,389,True,
shadow,396,True,
shadow,397,True,
shadow,398,True,
shadow,399,True,
shadow,400,True,
shadow,403,True,
shadow,404,True,
shadow,405,True,
shadow,424,True,
shadow,429,True,
shadow,430,True,
shadow,434,True,
shadow,435,True,
shadow,449,True,
shadow,450,True,
shadow,451,True,
shadow,452,True,
shadow,459,True,
shadow,460,True,
shadow,461,True,
shadow,462,True,
shadow,465,True,
shadow,466,True,
shadow,467,True,
shadow,472,True,
shadow,473,True,
shadow,474,True,
shadow,475,True,
shadow,476,True,
shadow,477,True,
shadow,504,True,
shadow,505,True,
shadow,509,True,
shadow,510,True,
shadow,580,True,
shadow,581,True,
shadow,590,True,
shadow,591,True,
shiny,1,True,
shiny,2,True,
shiny,3,True,
shiny,4,True,
shiny,5,True,
shiny,6,True,
shiny,7,True,
shiny,8,True,
shiny,9,True,
shiny,10,True,
shiny,11,True,
shiny,12,True,
shiny,13,True,
shiny,14,True,
shiny,15,True,
shiny,16,True,
shiny,17,True,
shiny,18,True,
shiny,19,True,
shiny,20,True,
shiny,21,True,
shiny,22,True,
shiny,23,True,
shiny,24,True,
shiny,25,True,
shiny,26,True,
shiny,27,True,
shiny,28,True,
shiny,29,True,
shiny,30,True,
shiny,31,True,
shiny,32,True,
shiny,33,True,
shiny,34,True,
shiny,35,True,
shiny,36,True,
shiny,37,True,
shiny,38,True,
shiny,39,True,
shiny,40,True,
shiny,41,True,
shiny,42,True,
shiny,43,True,
shiny,44,True,
shiny,45,True,
shiny,46,True,
shiny,47,True,
shiny,48,True,
shiny,49,True,
shiny,50,True,
shiny,51,True,
shiny,52,True,
shiny,53,True,
shiny,54,True,
shiny,55,True,
shiny,56,True,
shiny,57,True,
shiny,58,True,
shiny,59,True,
shiny,60,True,
shiny,61,True,
shiny,62,True,
shiny,63,True,
shiny,64,True,
shiny,65,True,
shiny,66,True,
shiny,67,True,
shiny,68,True,
shiny,69,True,
shiny,70,True,
shiny,71,True,
shiny,72,True,
shiny,73,True,
shiny,74,True,
shiny,75,True,
shiny,76,True,
shiny,77,True,
shiny,78,True,
shiny,79,True,
shiny,80,True,
shiny,81,True,
shiny,82,True,
shiny,83,True,
shiny,84,True,
shiny,85,True,
shiny,86,True,
shiny,87,True,
shiny,88,True,
shiny,89,True,
shiny,90,True,
shiny,91,True,
shiny,92,True,
shiny,93,True,
shiny,94,True,
shiny,95,True,
shiny,96,True,
shiny,97,True,
shiny,98,True,
shiny,99,True,
shiny,100,True,
shiny,101,True,
shiny,102,True,
shiny,103,True,
shiny,104,True,
shiny,105,True,
shiny,106,True,
shiny,107,True,
shiny,108,True,
shiny,109,True,
shiny,110,True,
shiny,111,True,
shiny,112,True,
shiny,113,True,
shiny,114,True,
shiny,115,True,
shiny,116,True,
shiny,117,True,
shiny,118,True,
shiny,119,True,
shiny,120,True,
shiny,121,True,
shiny,122,True,
shiny,123,True,
shiny,124,True,
shiny,125,True,
shiny,126,True,
shiny,127,True,
shiny,128,True,
shiny,129,True,
shiny,130,True,
shiny,131,True,
shiny,132,True,
shiny,133,True,
shiny,134,True,
shiny,135,True,
shiny,136,True,
shiny,137,True,
shiny,138,True,
shiny,139,True,
shiny,140,True,
shiny,141,True,
shiny,142,True,
shiny,143,True,
shiny,144,True,
shiny,145,True,
shiny,146,True,
shiny,147,True,
shiny,148,True,
shiny,149,True,
shiny,150,True,
shiny,151,True,
shiny,152,True,
shiny,153,True,
shiny,154,True,
shiny,155,True,
shiny,156,True,
shiny,157,True,
shiny,158,True,
shiny,159,True,
shiny,160,True,
shiny,161,True,
shiny,162,True,
shiny,163,True,
shiny,164,True,
shiny,165,True,
shiny,166,True,
shiny,167,True,
shiny,168,True,
shiny,169,True,
shiny,170,True,
shiny,171,True,
shiny,172,True,
shiny,173,True,
shiny,174,True,
shiny,175,True,
shiny,176,True,
shiny,177,True,
