dex_number,name,german_name,region,type_1,type_2,available_in_pogo,location_restriction,last_event,last_event_date,extra_info
1,Bulbasaur,Bisasam,kanto,grass,poison,yes,,Community Day 60,2022-12-17,
2,Ivysaur,Bisaknosp,kanto,grass,poison,yes,,,,
3,Venusaur,Bisaflor,kanto,grass,poison,yes,,,,
4,Charmander,Glumanda,kanto,fire,,yes,,Community Day 72,2023-12-16,
5,Charmeleon,Glutexo,kanto,fire,,yes,,,,
6,Charizard,Glurak,kanto,fire,flying,yes,,,,
7,Squirtle,Schiggy,kanto,water,,yes,,Community Day 72,2023-12-16,
8,Wartortle,Schillok,kanto,water,,yes,,,,
9,Blastoise,Turtok,kanto,water,,yes,,,,
10,Caterpie,Raupy,kanto,bug,,yes,,,,
11,Metapod,Safcon,kanto,bug,,yes,,,,
12,Butterfree,Smettbo,kanto,bug,flying,yes,,,,
13,Weedle,Hornliu,kanto,bug,poison,yes,,Community Day 36,2020-12-12,
14,Kakuna,Kokuna,kanto,bug,poison,yes,,,,
15,Beedrill,Bibor,kanto,bug,poison,yes,,,,
16,Pidgey,Taubsi,kanto,normal,flying,yes,,,,
17,Pidgeotto,Tauboga,kanto,normal,flying,yes,,,,
18,Pidgeot,Tauboss,kanto,normal,flying,yes,,,,
19,Rattata,Rattfratz,kanto,normal,,yes,,,,
20,Raticate,Rattikarl,kanto,normal,,yes,,,,
21,Spearow,Habitak,kanto,normal,flying,yes,,,,
22,Fearow,Ibitak,kanto,normal,flying,yes,,,,
23,Ekans,Rettan,kanto,poison,,yes,,,,
24,Arbok,Arbok,kanto,poison,,yes,,,,
25,Pikachu,Pikachu,kanto,electric,,yes,,Community Day 12,2018-11-30,
26,Raichu,Raichu,kanto,electric,,yes,,,,
27,Sandshrew,Sandan,kanto,ground,,yes,,Community Day 60,2022-12-17,
28,Sandslash,Sandamer,kanto,ground,,yes,,,,
29,Nidoran♀,Nidoran♀,kanto,poison,,yes,,,,
30,Nidorina,Nidorina,kanto,poison,,yes,,,,
31,Nidoqueen,Nidoqueen,kanto,poison,ground,yes,,,,
32,Nidoran♂,Nidoran♂,kanto,poison,,yes,,,,
33,Nidorino,Nidorino,kanto,poison,,yes,,,,
34,Nidoking,Nidoking,kanto,poison,ground,yes,,,,
35,Clefairy,Piepi,kanto,fairy,,yes,,,,
36,Clefable,Pixi,kanto,fairy,,yes,,,,
37,Vulpix,Vulpix,kanto,fire,,yes,,,,
38,Ninetales,Vulnona,kanto,fire,,yes,,,,
39,Jigglypuff,Pummeluff,kanto,normal,fairy,yes,,,,
40,Wigglytuff,Knuddeluff,kanto,normal,fairy,yes,,,,
41,Zubat,Zubat,kanto,poison,flying,yes,,,,
42,Golbat,Golbat,kanto,poison,flying,yes,,,,
43,Oddish,Myrapla,kanto,grass,poison,yes,,,,
44,Gloom,Duflor,kanto,grass,poison,yes,,,,
45,Vileplume,Giflor,kanto,grass,poison,yes,,,,
46,Paras,Paras,kanto,bug,grass,yes,,,,
47,Parasect,Parasek,kanto,bug,grass,yes,,,,
48,Venonat,Bluzuk,kanto,bug,poison,yes,,,,
49,Venomoth,Omot,kanto,bug,poison,yes,,,,
50,Diglett,Digda,kanto,ground,,yes,,,,
51,Dugtrio,Digdri,kanto,ground,,yes,,,,
52,Meowth,Mauzi,kanto,normal,,yes,,,,
53,Persian,Snobilikat,kanto,normal,,yes,,,,
54,Psyduck,Enton,kanto,water,,yes,,,,
55,Golduck,Entoron,kanto,water,,yes,,,,
56,Mankey,Menki,kanto,fighting,,yes,,,,
57,Primeape,Rasaff,kanto,fighting,,yes,,,,
58,Growlithe,Fukano,kanto,fire,,yes,,,,
59,Arcanine,Arkani,kanto,fire,,yes,,,,
60,Poliwag,Quapsel,kanto,water,,yes,,Community Day 72,2023-12-16,
61,Poliwhirl,Quaputzi,kanto,water,,yes,,,,
62,Poliwrath,Quappo,kanto,water,fighting,yes,,,,
63,Abra,Abra,kanto,psychic,,yes,,Community Day 36,2020-12-12,
64,Kadabra,Kadabra,kanto,psychic,,yes,,,,
65,Alakazam,Simsala,kanto,psychic,,yes,,,,
66,Machop,Machollo,kanto,fighting,,yes,,Community Day 48,2021-12-18,
67,Machoke,Maschock,kanto,fighting,,yes,,,,
68,Machamp,Machomei,kanto,fighting,,yes,,,,
69,Bellsprout,Knofensa,kanto,grass,poison,yes,,Community Day 76,2024-04-20,
70,Weepinbell,Ultrigaria,kanto,grass,poison,yes,,,,
71,Victreebel,Sarzenia,kanto,grass,poison,yes,,,,
72,Tentacool,Tentacha,kanto,water,poison,yes,,,,
73,Tentacruel,Tentoxa,kanto,water,poison,yes,,,,
74,Geodude,Kleinstein,kanto,rock,ground,yes,,,,
75,Graveler,Georok,kanto,rock,ground,yes,,,,
76,Golem,Geowaz,kanto,rock,ground,yes,,,,
77,Ponyta,Ponita,kanto,fire,,yes,,,,
78,Rapidash,Gallopa,kanto,fire,,yes,,,,
79,Slowpoke,Flegmon,kanto,water,psychic,yes,,Community Day 72,2023-12-16,
80,Slowbro,Lahmus,kanto,water,psychic,yes,,,,
81,Magnemite,Magnetilo,kanto,electric,steel,yes,,,,
82,Magneton,Magneton,kanto,electric,steel,yes,,,,
83,Farfetch’d,Porenta,kanto,normal,flying,yes,East Asia,,,
84,Doduo,Dodu,kanto,normal,flying,yes,,,,
85,Dodrio,Dodri,kanto,normal,flying,yes,,,,
86,Seel,Jurob,kanto,water,,yes,,,,
87,Dewgong,Jugong,kanto,water,ice,yes,,,,
