Level;XP to next Lvl.;Total XP
1;2500;0
2;3000;2500
3;3500;5500
4;4000;9000
5;5000;13000
6;6000;18000
7;7000;24000
8;8000;31000
9;9000;39000
10;10000;48000
11;12000;58000
12;14000;70000
13;16000;84000
14;18000;100000
15;21000;118000
16;24000;139000
17;28500;163000
18;31500;191500
19;35000;223000
20;42000;258000
21;49000;300000
22;56000;349000
23;63000;405000
24;70000;468000
25;83000;538000
26;96000;621000
27;109000;717000
28;122000;826000
29;135000;948000
30;158000;1083000
31;181000;1241000
32;204000;1422000
33;227000;1626000
34;250000;1853000
35;290000;2103000
36;330000;2393000
37;370000;2723000
38;410000;3093000
39;450000;3503000
40;520000;3953000
41;590000;4473000
42;660000;5063000
43;730000;5723000
44;800000;6453000
45;900000;7253000
46;1000000;8153000
47;1100000;9153000
48;1200000;10253000
49;1300000;11453000
50;1440000;12753000
51;1580000;14193000
52;1720000;15773000
53;1860000;17493000
54;2000000;19353000
55;2200000;21353000
56;2400000;23553000
57;2600000;25953000
58;2800000;28553000
59;3000000;31353000
60;3350000;34353000
61;3700000;37703000
62;4050000;41403000
63;4400000;45453000
64;4750000;49853000
65;5250000;54603000
66;5750000;59853000
67;6250000;65603000
68;6750000;71853000
69;7250000;78603000
70;8000000;85853000
71;8750000;93853000
72;9500000;102603000
73;10250000;112103000
74;11000000;122353000
75;12000000;133353000
76;13000000;145353000
77;14000000;158353000
78;15000000;172353000
79;16000000;187353000
80;0;203353000
