"date","account","medal_id","value"
"YYYY-MM-DD","Thombay","kanto",""
"","Thombay","collector",""
"","Thombay","sightseer",""
"","Thombay","johto",""
"","Thombay","berry_master",""
"","Thombay","gym_leader",""
"","Thombay","hoenn",""
"","Thombay","idol",""
"","Thombay","master_league_veteran",""
"","Thombay","unova",""
"","Thombay","triathlete",""
"","Thombay","rising_star",""
"","Thombay","life_of_a_party",""
"","Thombay","jogger",""
"","Thombay","scientist",""
"","Thombay","breeder",""
"","Thombay","backpacker",""
"","Thombay","battle_girl",""
"","Thombay","pikachu_fan",""
"","Thombay","pokemon_ranger",""
"","Thombay","sinnoh",""
"","Thombay","great_league_veteran",""
"","Thombay","ultra_league_veteran",""
"","Thombay","purifier",""
"","Thombay","hero",""
"","Thombay","kalos",""
"","Thombay","alola",""
"","Thombay","galar",""
"","Thombay","picnicker",""
"","Thombay","successor",""
"","Thombay","raid_expert",""
"","Thombay","hisui",""
"","Thombay","tiny_pokemon_collector",""
"","Thombay","jumbo_pokemon_collector",""
"","Thombay","fisher",""
"","Thombay","ace_trainer",""
"","Thombay","youngster",""
"","Thombay","unown",""
"","Thombay","champion",""
"","Thombay","battle_legend",""
"","Thombay","gentleman",""
"","Thombay","pilot",""
"","Thombay","cameraman",""
"","Thombay","ultra_hero",""
"","Thombay","rising_star_duo",""
"","Thombay","mega_evolution_guru",""
"","Thombay","expert_navigator",""
"","Thombay","paldea",""
"","Thombay","showcase_star",""
"","Thombay","best_buddy",""
"","Thombay","community_member",""
"","Thombay","wayfarer",""
"","Thombay","normal",""
"","Thombay","fighting",""
"","Thombay","flying",""
"","Thombay","poison",""
"","Thombay","ground",""
"","Thombay","rock",""
"","Thombay","bug",""
"","Thombay","ghost",""
"","Thombay","fire",""
"","Thombay","water",""
"","Thombay","grass",""
"","Thombay","electric",""
"","Thombay","psychic",""
"","Thombay","ice",""
"","Thombay","dark",""
"","Thombay","fairy",""
"","Thombay","steel",""
"","Thombay","dragon",""
"YYYY-MM-DD","Cerius","kanto",""
"","Cerius","collector",""
"","Cerius","sightseer",""
"","Cerius","johto",""
"","Cerius","berry_master",""
"","Cerius","hoenn",""
"","Cerius","idol",""
"","Cerius","master_league_veteran",""
"","Cerius","unova",""
"","Cerius","triathlete",""
"","Cerius","rising_star",""
"","Cerius","life_of_a_party",""
"","Cerius","jogger",""
"","Cerius","scientist",""
"","Cerius","breeder",""
"","Cerius","backpacker",""
"","Cerius","battle_girl",""
"","Cerius","pikachu_fan",""
"","Cerius","gym_leader",""
"","Cerius","pokemon_ranger",""
"","Cerius","sinnoh",""
"","Cerius","great_league_veteran",""
"","Cerius","ultra_league_veteran",""
"","Cerius","purifier",""
"","Cerius","hero",""
"","Cerius","kalos",""
"","Cerius","alola",""
"","Cerius","galar",""
"","Cerius","picnicker",""
"","Cerius","successor",""
"","Cerius","raid_expert",""
"","Cerius","hisui",""
"","Cerius","tiny_pokemon_collector",""
"","Cerius","jumbo_pokemon_collector",""
"","Cerius","fisher",""
"","Cerius","ace_trainer",""
"","Cerius","youngster",""
"","Cerius","unown",""
"","Cerius","champion",""
"","Cerius","battle_legend",""
"","Cerius","gentleman",""
"","Cerius","pilot",""
"","Cerius","cameraman",""
"","Cerius","ultra_hero",""
"","Cerius","rising_star_duo",""
"","Cerius","mega_evolution_guru",""
"","Cerius","expert_navigator",""
"","Cerius","paldea",""
"","Cerius","best_buddy",""
"","Cerius","community_member",""
"","Cerius","showcase_star",""
"","Cerius","wayfarer",""
"","Cerius","normal",""
"","Cerius","fighting",""
"","Cerius","flying",""
"","Cerius","poison",""
"","Cerius","ground",""
"","Cerius","rock",""
"","Cerius","bug",""
"","Cerius","ghost",""
"","Cerius","fire",""
"","Cerius","water",""
"","Cerius","grass",""
"","Cerius","electric",""
"","Cerius","psychic",""
"","Cerius","dark",""
"","Cerius","fairy",""
"","Cerius","steel",""
"","Cerius","ice",""
"","Cerius","dragon",""
"YYYY-MM-DD","Thomzay","kanto",""
"","Thomzay","collector",""
"","Thomzay","sightseer",""
"","Thomzay","johto",""
"","Thomzay","berry_master",""
"","Thomzay","hoenn",""
"","Thomzay","idol",""
"","Thomzay","master_league_veteran",""
"","Thomzay","unova",""
"","Thomzay","triathlete",""
"","Thomzay","rising_star",""
"","Thomzay","life_of_a_party",""
"","Thomzay","jogger",""
"","Thomzay","scientist",""
"","Thomzay","breeder",""
"","Thomzay","backpacker",""
"","Thomzay","battle_girl",""
"","Thomzay","pikachu_fan",""
"","Thomzay","gym_leader",""
"","Thomzay","pokemon_ranger",""
"","Thomzay","sinnoh",""
"","Thomzay","great_league_veteran",""
"","Thomzay","ultra_league_veteran",""
"","Thomzay","purifier",""
"","Thomzay","hero",""
"","Thomzay","kalos",""
"","Thomzay","alola",""
"","Thomzay","galar",""
"","Thomzay","picnicker",""
"","Thomzay","successor",""
"","Thomzay","raid_expert",""
"","Thomzay","hisui",""
"","Thomzay","tiny_pokemon_collector",""
"","Thomzay","jumbo_pokemon_collector",""
"","Thomzay","fisher",""
"","Thomzay","ace_trainer",""
"","Thomzay","youngster",""
"","Thomzay","unown",""
"","Thomzay","champion",""
"","Thomzay","battle_legend",""
"","Thomzay","gentleman",""
"","Thomzay","pilot",""
"","Thomzay","cameraman",""
"","Thomzay","ultra_hero",""
"","Thomzay","rising_star_duo",""
"","Thomzay","mega_evolution_guru",""
"","Thomzay","expert_navigator",""
"","Thomzay","paldea",""
"","Thomzay","best_buddy",""
"","Thomzay","community_member",""
"","Thomzay","showcase_star",""
"","Thomzay","wayfarer",""
"","Thomzay","normal",""
"","Thomzay","fighting",""
"","Thomzay","flying",""
"","Thomzay","poison",""
"","Thomzay","ground",""
"","Thomzay","rock",""
"","Thomzay","bug",""
"","Thomzay","ghost",""
"","Thomzay","fire",""
"","Thomzay","water",""
"","Thomzay","grass",""
"","Thomzay","electric",""
"","Thomzay","psychic",""
"","Thomzay","dark",""
"","Thomzay","fairy",""
"","Thomzay","steel",""
"","Thomzay","ice",""
"","Thomzay","dragon",""
